artist_name,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri
Rend Collective,Rescuer (Good News),0.491,0.746,7,-4.872,1,0.0565,0.396,0.0,0.368,0.627,152.022,spotify:track:32f24TdkpHx8L0EZX2HbP4
Yuna,Lullabies - Adventure Club Remix,0.403,0.698,9,-5.058,0,0.0357,0.00171,0.00126,0.256,0.0833,159.869,spotify:track:3RJuptH9QoeJWzHd4ZCI0u
Tech N9ne,Shut the F**k Up (Skit),0.0,0.95,9,-8.761,1,0.0,0.51,0.0712,0.872,0.0,0.0,spotify:track:4oiXR2h98f196Ov2wCjCJS
Bayside,Landing Feet First,0.436,0.332,9,-7.649,1,0.0406,0.00434,0.0,0.109,0.329,174.901,spotify:track:3y0ycPzjAE6R66u3aw8MBk
Iamsu!,Back On My BS (feat. Skipper & Problem),0.755,0.809,7,-5.954,0,0.166,0.174,0.0,0.181,0.549,98.035,spotify:track:3AtNkheraHcfe0ubFQ9Xp1
Little Mix,Grown,0.603,0.767,7,-4.035,0,0.0544,0.115,2.85e-05,0.314,0.491,173.923,spotify:track:5ESfsDYalNA5kIaY1Ou7Cy
Could Steps,Have You Ever See the Rain,0.739,0.816,0,-4.688,1,0.0317,0.298,0.0,0.202,0.663,115.85,spotify:track:0uPlBKs5dpxJUOkKzYrBKY
R3HAB,Trouble - It's Different Remix,0.547,0.803,9,-3.843,0,0.0742,0.267,0.0,0.34,0.346,95.123,spotify:track:3aEgGYlDITouQfD3mV5o8J
Wynonie Harris,Grandma Plays the Numbers,0.704,0.55,5,-5.704,0,0.158,0.971,8.99e-05,0.0574,0.734,76.789,spotify:track:5yrr8Dz9gEyShwU8AxtdYc
Lili Kendall,Them,0.603,0.373,4,-12.017,0,0.0481,0.493,0.00156,0.133,0.0812,123.927,spotify:track:1pzHLCJh5w9poef6xMzeK9
SAINt JHN,Roses,0.782,0.5,5,-6.473,0,0.0611,0.342,2.05e-05,0.133,0.281,102.001,spotify:track:4XcgXoa8qLuT7qVjMEbU0G
The Beatles,Any Time At All - Remastered 2009,0.612,0.719,2,-7.026,1,0.0398,0.366,3.88e-06,0.437,0.744,141.016,spotify:track:70XHAdaMaoLIOVb1hSaeJ4
Frank Sinatra,I've Got You Under My Skin - Remastered Album Version,0.517,0.386,1,-12.422,1,0.0487,0.646,0.0,0.138,0.64,136.324,spotify:track:2GhD1ppTxExfX3OQRUL6t9
